z_b11,z_b12,modeled_y
1.0,0.072280701754386,-0.22786840909159523
1.00341368080382,0.164912280701754,-0.040153919342245104
1.01075161945043,0.343157894736842,0.36551659073662535
1.01603537153231,0.545964912280702,0.6594539527386907
1.02164467423431,0.792982456140351,0.9731789482619533
1.02576804888244,1.02982456140351,1.2048983754949596
1.03079923105319,1.29719298245614,1.4888976409172976
1.03718526584932,1.52736842105263,1.851376607814963
1.04223735739865,1.82561403508772,2.139725461072487
1.0473770782448,2.13789473684211,2.4345135582339488
1.04630692165944,2.42631578947368,2.373015314323858
1.04557693101509,2.72491228070175,2.331101313852706
1.05158991458095,3.34245614035088,2.6772217579688373
