z_b21,z_b22,modeled_y
1.0,-0.0052631578947368,-0.44222996993010844
1.01230206292047,0.0147368421052632,-0.3472918884715135
1.04252732695228,0.0284210526315789,-0.10910645025510046
1.06372660930813,0.0217543859649123,0.06213197444089058
1.0866809659373,0.0350877192982456,0.2514339911740322
1.11330789960838,0.0719298245614035,0.47608634533131866
1.13582461687281,0.135789473684211,0.6703043346303543
1.16007707425612,0.280350877192982,0.8838439090226986
1.17398966081443,0.505614035087719,1.008378638937888
1.18635912712162,0.871578947368421,1.120347298732753
1.19730241983352,1.34877192982456,1.2203845940204605
1.21092184531321,1.90666666666667,1.3461684923799453
1.22299348298592,2.38385964912281,1.4588469756004159
