z_b21,z_b22,modeled_y
1.0,0.0035087719298245,-0.5647204780210391
1.00508622116136,0.0066666666666666,-0.4536889511516655
1.01752772559592,0.0203508771929825,-0.17971837982374872
1.03993973869695,0.0371929824561403,0.32231415500620386
1.05563937889113,0.100701754385965,0.6805027723242087
1.06801370566787,0.201754385964912,0.9666062734726708
1.07822248039214,0.372982456140351,1.2051506332684365
1.08651274479133,0.651929824561403,1.4005356178343238
1.09464658768589,1.0719298245614,1.593688498956709
1.09941702017306,1.63298245614035,1.7076412953199913
1.10091616241144,1.90842105263158,1.7435540987179046
1.10260599743668,2.55719298245614,1.7840937257672422
1.10788892491945,3.55157894736842,1.9112337207848622
