model_name,params,r_squared,constraint_value,note
Model 1,[0.47312920031517813],0.04007340229096812,None,note
Model 1,[2.0769746316524875],0.0667204063433311,None,n
Model 1,[0.8090302043358686],0.06447889601089518,None,n
Model 1,[0.1717603850745282],0.0298105490068169,None,n
Model 1,[0.8209084673119553],0.040919031536492345,None,n
